SCALAR,SIMPLE,COMPLEX,VERY COMPLEX
5.531459,9.163,9.790375,11.202458
4.866541,7.777542,10.739875,13.264833
4.589084,8.361917,9.015208,15.608417
5.404833,8.366125,10.735833,13.345542
5.329625,8.375541,11.167375,11.477084
5.189083,10.226708,8.984333,11.613834
4.807709,7.717458,10.375833,15.85925
5.622875,8.373334,9.441125,14.83625
5.278334,8.709417,10.17575,12.688833
5.358833,8.246708,9.338916,14.754708
4.669625,8.590959,10.120292,16.468916
5.055708,8.347375,9.232084,14.335583
5.918166,8.79825,10.009334,11.191292
5.57350,7.268792,9.951042,13.577916
5.173667,8.829541,10.95525,14.830708
5.352125,7.701958,10.565959,13.042375
6.004708,7.966292,10.957042,12.987667
5.194583,7.694292,9.202792,11.319542
4.200042,8.441916,9.304542,15.224042
4.503541,7.640375,9.686875,13.080083
5.430792,9.491167,9.51225,11.579292
5.896416,7.167167,9.433,11.780667
5.497708,7.354833,9.122959,12.807166
6.319291,8.561,10.046125,14.232375
5.497708,6.906125,9.946208,12.363542
4.91275,8.119458,9.414625,12.000958
5.468167,8.282875,8.468833,11.18815
5.919333,8.187875,10.181083,11.735375
5.520958,7.648458,9.448458,12.547041
6.106417,8.177125,9.986833,15.616292